"frame","surprise","fear","disgust","anger","contempt","happiness","neutral","sadness"
"205","0.0078873","0.000234595","0.0129171","0.00615018","0.00368931","0.00199087","0.964514","0.00261672"
"206","0.0100821","0.000390373","0.0134775","0.00591639","0.00745152","0.00167764","0.957194","0.00381021"
"207","0.00813247","0.000320893","0.00978183","0.00481884","0.00593346","0.0011077","0.965419","0.0044854"
"208","0.00895769","0.000448874","0.00710068","0.00457269","0.00453089","0.00114542","0.968455","0.00478909"
"209","0.00963096","0.000365301","0.00539347","0.00496419","0.00240922","0.000560977","0.974437","0.00223905"
"210","0.00735262","0.000474705","0.00485","0.00366412","0.00135557","0.000308465","0.978407","0.00358706"
"211","0.0102585","0.000447506","0.00530114","0.00307811","0.000936602","0.000290092","0.976046","0.0036416"
"212","0.00619107","0.000273282","0.00215567","0.00162978","0.000581479","0.000167616","0.986821","0.00218016"
"213","0.00548821","0.000284776","0.002083","0.0015883","0.000587718","0.000157017","0.987015","0.00279582"
"214","0.00342127","0.000527802","0.0016757","0.00295411","0.00161321","0.000335988","0.981246","0.0082264"
"215","0.00671608","0.00204114","0.0104906","0.00841113","0.00867703","0.00156826","0.92962","0.0324755"
"216","0.0163753","0.0122628","0.0368198","0.0189337","0.0117834","0.00176849","0.834909","0.0671477"
"217","0.0155367","0.00820005","0.0269846","0.0158492","0.0106191","0.00263477","0.874508","0.0456672"
"218","0.0192869","0.0103594","0.0330819","0.0128576","0.0115487","0.00249136","0.864196","0.0461786"
"219","0.0115328","0.00329027","0.0189343","0.00773069","0.0140697","0.00438891","0.905099","0.034954"
"220","0.00968103","0.00233751","0.0155511","0.0081828","0.0161366","0.00685811","0.912464","0.0287893"
"221","0.0141534","0.00481435","0.0255714","0.01042","0.0215882","0.00748373","0.87146","0.0445086"
"222","0.0156428","0.00388081","0.0316595","0.0126852","0.0464938","0.0143446","0.838819","0.0364742"
"223","0.0228253","0.0181503","0.0943171","0.0292861","0.143922","0.0210194","0.606286","0.064194"
"224","0.0122809","0.00700182","0.0476572","0.0177833","0.193832","0.0327314","0.643575","0.0451388"
"225","0.0111298","0.00149269","0.0312781","0.0200575","0.085736","0.247381","0.589815","0.0131096"
"226","0.00627112","0.000570334","0.0200635","0.0136063","0.0773591","0.379592","0.494518","0.0080193"
"227","0.00656323","0.000600205","0.0200659","0.0176796","0.0735473","0.370137","0.504464","0.00694272"
